respid,Community Type,Religion,Education Level,Age group,Gender,Family income,US region
3046,Suburban,Roman Catholic,College graduate+,30-49,A man,"$70,000 to less than $100,000",Northeast
7541,Suburban,Buddhist,H.S. graduate or less,50-64,A woman,"$70,000 to less than $100,000",Midwest
1615,Suburban,Mormon,Some College,30-49,A woman,"$125,000 to less than $150,000",South
11817,Suburban,Protestant,H.S. graduate or less,50-64,A man,"$150,000 or more",South
12155,Suburban,Nothing in particular,College graduate+,30-49,A man,"$150,000 or more",Midwest
1067,Rural,Protestant,Some College,30-49,A woman,"$70,000 to less than $100,000",South
1833,Suburban,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",Northeast
4907,Rural,Nothing in particular,Some College,65+,A woman,"Less than $30,000",South
5492,Suburban,Protestant,Some College,65+,A man,"$150,000 or more",Northeast
10796,Rural,Protestant,H.S. graduate or less,50-64,A woman,"Less than $30,000",Midwest
6607,Urban,Refused/Web blank,Some College,30-49,A woman,"$40,000 to less than $50,000",South
13066,Refused/Web blank,Nothing in particular,College graduate+,65+,A man,"$150,000 or more",South
14534,Suburban,Protestant,Some College,50-64,A woman,"Less than $30,000",South
3191,Rural,Nothing in particular,College graduate+,65+,A man,"$50,000 to less than $70,000",South
18677,Suburban,Protestant,College graduate+,18-29,A woman,"$70,000 to less than $100,000",South
10657,Suburban,Protestant,College graduate+,65+,A woman,"$150,000 or more",Midwest
13348,Suburban,Protestant,H.S. graduate or less,50-64,A man,"Less than $30,000",Midwest
5646,Suburban,Protestant,Some College,50-64,A woman,"$150,000 or more",South
6832,Suburban,Atheist,Some College,30-49,A man,"$150,000 or more",West
11609,Rural,Mormon,Some College,65+,A woman,"$50,000 to less than $70,000",Midwest
9539,Rural,Protestant,College graduate+,65+,A woman,"$30,000 to less than $40,000",South
4530,Suburban,Nothing in particular,Some College,30-49,A man,"$70,000 to less than $100,000",Midwest
370,Urban,Nothing in particular,H.S. graduate or less,30-49,A man,"$50,000 to less than $70,000",Midwest
7986,Rural,Protestant,H.S. graduate or less,30-49,A woman,"$50,000 to less than $70,000",Midwest
9356,Suburban,Nothing in particular,College graduate+,50-64,A woman,"$150,000 or more",South
5568,Urban,Protestant,College graduate+,65+,A man,"$150,000 or more",Midwest
45,Urban,Protestant,Some College,65+,A man,"$150,000 or more",West
4684,Rural,Agnostic,Some College,30-49,A woman,"$70,000 to less than $100,000",Northeast
10176,Suburban,Roman Catholic,College graduate+,50-64,A man,"$150,000 or more",Northeast
3933,Urban,Nothing in particular,College graduate+,30-49,A woman,"$125,000 to less than $150,000",Midwest
4662,Rural,Protestant,Some College,65+,A man,"$50,000 to less than $70,000",West
10855,Suburban,Protestant,Some College,30-49,A man,"$100,000 to less than $125,000",South
10132,Urban,Roman Catholic,H.S. graduate or less,65+,A man,"Less than $30,000",South
17725,Urban,Mormon,Some College,18-29,A man,"Less than $30,000",West
4810,Suburban,Nothing in particular,Some College,65+,A woman,"$70,000 to less than $100,000",South
18382,Rural,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",South
4958,Urban,Agnostic,Some College,30-49,A woman,"$100,000 to less than $125,000",Northeast
14930,Rural,Protestant,Some College,65+,A woman,"Less than $30,000",South
4293,Urban,Roman Catholic,College graduate+,18-29,A man,"$70,000 to less than $100,000",West
6916,Rural,Roman Catholic,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
16841,Suburban,Protestant,College graduate+,18-29,A man,"$100,000 to less than $125,000",South
4266,Suburban,Nothing in particular,Some College,30-49,A man,"$40,000 to less than $50,000",Midwest
16364,Suburban,Nothing in particular,Some College,30-49,A woman,"$150,000 or more",Midwest
10467,Suburban,Jewish,Some College,18-29,A man,"$30,000 to less than $40,000",Midwest
7989,Rural,Buddhist,Some College,30-49,A man,"$150,000 or more",West
10923,Suburban,Roman Catholic,College graduate+,30-49,A man,"$150,000 or more",South
16936,Rural,Nothing in particular,H.S. graduate or less,65+,A man,"$30,000 to less than $40,000",Midwest
5150,Suburban,Agnostic,Some College,18-29,A man,"Less than $30,000",Midwest
1234,Suburban,Roman Catholic,H.S. graduate or less,30-49,A man,"$100,000 to less than $125,000",West
10789,Suburban,Mormon,Some College,65+,A woman,"$70,000 to less than $100,000",West
7563,Urban,Protestant,College graduate+,50-64,A woman,"$150,000 or more",Midwest
18045,Urban,Roman Catholic,Some College,50-64,A woman,"$30,000 to less than $40,000",Northeast
2184,Suburban,Agnostic,College graduate+,18-29,A man,"$100,000 to less than $125,000",West
7241,Suburban,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",South
15610,Suburban,Nothing in particular,College graduate+,30-49,A man,"$150,000 or more",South
12022,Suburban,Atheist,College graduate+,30-49,A woman,"$125,000 to less than $150,000",West
4080,Urban,Protestant,H.S. graduate or less,30-49,A woman,"$50,000 to less than $70,000",West
6569,Suburban,Nothing in particular,Some College,50-64,A woman,"$100,000 to less than $125,000",West
10101,Refused/Web blank,Mormon,College graduate+,30-49,A man,"$70,000 to less than $100,000",West
6356,Rural,Protestant,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",Northeast
12757,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",Northeast
5941,Rural,Nothing in particular,H.S. graduate or less,18-29,A man,"Less than $30,000",Northeast
4260,Suburban,Protestant,H.S. graduate or less,50-64,A man,"$30,000 to less than $40,000",West
7510,Urban,Protestant,Some College,30-49,A man,Refused/Web blank,West
8561,Rural,Protestant,College graduate+,65+,A woman,Refused/Web blank,South
5057,Urban,Nothing in particular,Some College,65+,A man,"$30,000 to less than $40,000",West
10526,Suburban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
13538,Suburban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",Midwest
9041,Urban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
1137,Rural,Nothing in particular,Some College,30-49,A woman,"$50,000 to less than $70,000",South
3711,Rural,Protestant,Some College,50-64,A woman,"Less than $30,000",South
5610,Rural,Protestant,Some College,50-64,A woman,"$30,000 to less than $40,000",South
11521,Rural,Nothing in particular,H.S. graduate or less,50-64,A man,"$125,000 to less than $150,000",South
11075,Suburban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",West
13306,Urban,Roman Catholic,College graduate+,50-64,A man,"$125,000 to less than $150,000",Midwest
17907,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",South
8100,Urban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$100,000 to less than $125,000",South
12316,Urban,Protestant,College graduate+,65+,A man,"$150,000 or more",West
10348,Urban,Protestant,College graduate+,50-64,A man,"$70,000 to less than $100,000",Midwest
12267,Suburban,Protestant,College graduate+,50-64,A man,"$70,000 to less than $100,000",West
17893,Urban,Protestant,College graduate+,18-29,A woman,"$70,000 to less than $100,000",Midwest
18736,Rural,Protestant,College graduate+,50-64,A man,"$70,000 to less than $100,000",Midwest
17158,Suburban,Protestant,College graduate+,50-64,A man,Refused/Web blank,South
9627,Urban,Protestant,College graduate+,18-29,A man,"Less than $30,000",West
16948,Suburban,Atheist,College graduate+,50-64,A woman,"$125,000 to less than $150,000",West
11102,Urban,Protestant,Some College,30-49,A woman,"Less than $30,000",South
9227,Urban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
14080,Suburban,Nothing in particular,College graduate+,65+,A man,"$40,000 to less than $50,000",Northeast
5580,Suburban,Protestant,College graduate+,65+,A woman,"$30,000 to less than $40,000",Northeast
16187,Suburban,Protestant,College graduate+,30-49,A man,"$150,000 or more",West
365,Suburban,Nothing in particular,H.S. graduate or less,18-29,A man,"$100,000 to less than $125,000",Northeast
16637,Suburban,Atheist,College graduate+,30-49,A man,"$100,000 to less than $125,000",South
5149,Urban,Protestant,College graduate+,65+,A woman,"$40,000 to less than $50,000",Northeast
2482,Rural,Agnostic,College graduate+,65+,A woman,"$40,000 to less than $50,000",West
15408,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
2711,Urban,Nothing in particular,College graduate+,30-49,A woman,"$70,000 to less than $100,000",West
120,Suburban,Protestant,College graduate+,30-49,A man,"$150,000 or more",South
11422,Urban,Atheist,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
2783,Urban,Protestant,Some College,50-64,A woman,"$50,000 to less than $70,000",South
15744,Rural,Nothing in particular,Some College,50-64,A woman,"$70,000 to less than $100,000",West
5634,Suburban,Something else (please specify):,College graduate+,30-49,A man,"$70,000 to less than $100,000",West
10892,Rural,Protestant,H.S. graduate or less,30-49,A man,"Less than $30,000",South
12624,Urban,Atheist,College graduate+,50-64,A man,"$100,000 to less than $125,000",Northeast
6808,Rural,Protestant,Some College,65+,A woman,"Less than $30,000",South
1963,Urban,Refused/Web blank,College graduate+,65+,A woman,"Less than $30,000",Midwest
14439,Rural,Roman Catholic,College graduate+,65+,A woman,Refused/Web blank,South
10795,Suburban,Nothing in particular,College graduate+,30-49,A man,"$100,000 to less than $125,000",Midwest
15256,Suburban,Protestant,Some College,50-64,A woman,"$50,000 to less than $70,000",Midwest
1950,Rural,Protestant,College graduate+,50-64,A woman,"$30,000 to less than $40,000",Northeast
6509,Urban,Protestant,Some College,65+,A woman,"Less than $30,000",South
3875,Refused/Web blank,Protestant,College graduate+,65+,A woman,"$30,000 to less than $40,000",South
16359,Suburban,Atheist,College graduate+,65+,A man,"$50,000 to less than $70,000",Northeast
5532,Rural,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",Midwest
5882,Urban,Protestant,Some College,50-64,A man,"Less than $30,000",Northeast
15040,Urban,Protestant,Some College,18-29,A man,"$40,000 to less than $50,000",West
2818,Rural,Roman Catholic,Some College,65+,A man,"$70,000 to less than $100,000",West
12295,Urban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$40,000 to less than $50,000",South
9355,Rural,Protestant,Some College,50-64,A man,"$150,000 or more",South
15632,Rural,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",West
9517,Suburban,Protestant,College graduate+,50-64,A man,"$70,000 to less than $100,000",Northeast
1214,Urban,Nothing in particular,College graduate+,65+,A woman,"$70,000 to less than $100,000",South
15009,Rural,Something else (please specify):,H.S. graduate or less,50-64,A woman,"Less than $30,000",South
16577,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$125,000 to less than $150,000",West
18571,Rural,Protestant,College graduate+,65+,A man,"$100,000 to less than $125,000",West
15054,Suburban,Roman Catholic,College graduate+,50-64,A man,"$125,000 to less than $150,000",South
13956,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$125,000 to less than $150,000",Midwest
6219,Urban,Something else (please specify):,College graduate+,50-64,A man,"Less than $30,000",South
16124,Urban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",South
3077,Rural,Roman Catholic,College graduate+,50-64,A man,"$125,000 to less than $150,000",South
3481,Rural,Protestant,Some College,30-49,A woman,"$70,000 to less than $100,000",South
11171,Refused/Web blank,Protestant,H.S. graduate or less,50-64,A man,"Less than $30,000",South
14009,Suburban,Nothing in particular,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Midwest
14834,Rural,Protestant,Some College,30-49,A man,"$70,000 to less than $100,000",South
17545,Suburban,Roman Catholic,Some College,50-64,A woman,"$40,000 to less than $50,000",Northeast
7536,Suburban,Protestant,College graduate+,50-64,A man,"Less than $30,000",Midwest
5279,Suburban,Protestant,College graduate+,65+,A man,"$40,000 to less than $50,000",South
12768,Suburban,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",Northeast
10591,Suburban,Orthodox,College graduate+,65+,A woman,"$150,000 or more",Northeast
3464,Suburban,Roman Catholic,Some College,65+,A man,"$70,000 to less than $100,000",Northeast
2656,Rural,Protestant,College graduate+,30-49,A woman,"Less than $30,000",South
5702,Rural,Protestant,College graduate+,50-64,A man,"$125,000 to less than $150,000",South
17547,Suburban,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
7953,Rural,Nothing in particular,College graduate+,65+,A woman,"$50,000 to less than $70,000",Northeast
10400,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",South
17137,Urban,Protestant,College graduate+,50-64,A woman,"$100,000 to less than $125,000",South
16760,Suburban,Nothing in particular,College graduate+,30-49,A man,"$150,000 or more",Midwest
4172,Rural,Orthodox,College graduate+,65+,A man,"$70,000 to less than $100,000",Northeast
4465,Suburban,Protestant,Some College,50-64,A man,"$50,000 to less than $70,000",West
13854,Urban,Nothing in particular,College graduate+,65+,A woman,"$50,000 to less than $70,000",West
4592,Urban,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",South
9820,Rural,Refused/Web blank,College graduate+,50-64,A woman,Refused/Web blank,South
12994,Rural,Nothing in particular,College graduate+,30-49,A woman,"$150,000 or more",West
2636,Suburban,Roman Catholic,College graduate+,30-49,A man,"$70,000 to less than $100,000",West
10255,Urban,Roman Catholic,Some College,30-49,A woman,"$50,000 to less than $70,000",Northeast
14021,Urban,Roman Catholic,Some College,30-49,A woman,"$100,000 to less than $125,000",West
1343,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",Northeast
9306,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$150,000 or more",South
7092,Rural,Protestant,College graduate+,65+,A man,Refused/Web blank,South
7718,Urban,Hindu,College graduate+,18-29,A woman,"Less than $30,000",South
5517,Rural,Protestant,College graduate+,30-49,A woman,Refused/Web blank,West
14694,Rural,Protestant,Some College,30-49,A man,"$40,000 to less than $50,000",South
17884,Urban,Protestant,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
3237,Suburban,Agnostic,College graduate+,50-64,A man,"$150,000 or more",Midwest
5640,Urban,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",Midwest
2668,Urban,Nothing in particular,H.S. graduate or less,50-64,A man,"Less than $30,000",South
13908,Suburban,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
4126,Urban,Nothing in particular,Some College,65+,A woman,"Less than $30,000",West
15568,Suburban,Protestant,Some College,18-29,A woman,"Less than $30,000",Midwest
17852,Suburban,Protestant,College graduate+,65+,A man,"$30,000 to less than $40,000",South
13034,Suburban,Protestant,Some College,30-49,A man,"$50,000 to less than $70,000",South
8573,Suburban,Protestant,Some College,18-29,A woman,"$40,000 to less than $50,000",Midwest
185,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",South
10345,Urban,Protestant,Some College,30-49,A woman,"Less than $30,000",West
9071,Rural,Roman Catholic,Some College,50-64,A woman,"$40,000 to less than $50,000",South
17791,Urban,Nothing in particular,H.S. graduate or less,65+,A woman,"$40,000 to less than $50,000",Midwest
9302,Urban,Protestant,College graduate+,30-49,A man,"$150,000 or more",West
1099,Suburban,Jewish,College graduate+,65+,A man,"$70,000 to less than $100,000",Northeast
3634,Suburban,Protestant,College graduate+,50-64,A woman,"$150,000 or more",West
6504,Suburban,Protestant,Some College,65+,A man,"$150,000 or more",South
12997,Urban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",West
438,Urban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",West
14765,Rural,Protestant,H.S. graduate or less,65+,A man,"Less than $30,000",South
13213,Rural,Mormon,College graduate+,65+,A man,"$125,000 to less than $150,000",West
13722,Rural,Protestant,College graduate+,65+,A man,"$100,000 to less than $125,000",South
5460,Rural,Roman Catholic,Some College,18-29,A woman,"$40,000 to less than $50,000",South
5195,Suburban,Something else (please specify):,Some College,30-49,A man,"$40,000 to less than $50,000",West
15893,Suburban,Nothing in particular,H.S. graduate or less,65+,A man,"Less than $30,000",West
3230,Urban,Roman Catholic,Some College,30-49,A woman,"Less than $30,000",South
1638,Suburban,Roman Catholic,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",Northeast
12496,Suburban,Protestant,College graduate+,65+,A man,"$70,000 to less than $100,000",South
16677,Urban,Nothing in particular,Some College,30-49,A woman,"$40,000 to less than $50,000",South
5608,Rural,Agnostic,Some College,30-49,A woman,"$50,000 to less than $70,000",Midwest
2524,Rural,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Northeast
18273,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$150,000 or more",South
1805,Urban,Nothing in particular,H.S. graduate or less,18-29,A woman,"Less than $30,000",South
4033,Suburban,Agnostic,Some College,50-64,A woman,"$70,000 to less than $100,000",West
6062,Urban,Nothing in particular,Some College,30-49,A man,"$50,000 to less than $70,000",Midwest
3111,Rural,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",South
6754,Urban,Atheist,Some College,30-49,A woman,"$70,000 to less than $100,000",Midwest
7131,Rural,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
17207,Urban,Nothing in particular,Some College,50-64,A man,"$50,000 to less than $70,000",Midwest
3415,Urban,Atheist,College graduate+,50-64,A man,"$70,000 to less than $100,000",West
3133,Urban,Nothing in particular,H.S. graduate or less,18-29,A woman,"Less than $30,000",South
1934,Rural,Agnostic,College graduate+,30-49,A woman,"$70,000 to less than $100,000",West
10472,Suburban,Protestant,Some College,50-64,A man,"$100,000 to less than $125,000",South
879,Suburban,Roman Catholic,College graduate+,18-29,A woman,"$50,000 to less than $70,000",Midwest
17094,Suburban,Atheist,College graduate+,18-29,A man,"$50,000 to less than $70,000",West
6594,Suburban,Protestant,Some College,65+,A man,"$125,000 to less than $150,000",Northeast
9253,Rural,Nothing in particular,H.S. graduate or less,50-64,A woman,"Less than $30,000",West
8230,Suburban,Protestant,College graduate+,65+,A man,"$30,000 to less than $40,000",Northeast
12080,Rural,Roman Catholic,Some College,30-49,A woman,"Less than $30,000",Midwest
6520,Rural,Nothing in particular,H.S. graduate or less,30-49,A man,"Less than $30,000",South
18028,Suburban,Nothing in particular,Some College,30-49,A woman,"$50,000 to less than $70,000",South
17658,Suburban,Agnostic,College graduate+,65+,A man,"$150,000 or more",Midwest
3977,Rural,Nothing in particular,H.S. graduate or less,18-29,A man,"$30,000 to less than $40,000",Midwest
18431,Urban,Nothing in particular,H.S. graduate or less,18-29,A woman,"Less than $30,000",South
3642,Urban,Jewish,Some College,30-49,A woman,"$30,000 to less than $40,000",Northeast
2856,Suburban,Atheist,H.S. graduate or less,30-49,A woman,"Less than $30,000",Northeast
13512,Suburban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$50,000 to less than $70,000",Midwest
2923,Urban,Protestant,College graduate+,65+,A man,"$150,000 or more",South
17081,Suburban,Protestant,Some College,30-49,A woman,"$40,000 to less than $50,000",South
14550,Urban,Roman Catholic,College graduate+,30-49,A woman,"$50,000 to less than $70,000",Northeast
10104,Urban,Nothing in particular,College graduate+,30-49,A woman,"$125,000 to less than $150,000",Northeast
5426,Rural,Protestant,H.S. graduate or less,50-64,A woman,"Less than $30,000",South
331,Rural,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",South
4440,Suburban,Protestant,Some College,30-49,A woman,"Less than $30,000",South
8083,Rural,Refused/Web blank,H.S. graduate or less,30-49,A man,Refused/Web blank,Midwest
3474,Urban,Protestant,College graduate+,18-29,A man,"$50,000 to less than $70,000",South
13900,Urban,Roman Catholic,Some College,30-49,A woman,"$30,000 to less than $40,000",West
5270,Suburban,Nothing in particular,Some College,65+,A man,"$50,000 to less than $70,000",South
1616,Suburban,Atheist,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Northeast
13069,Urban,Muslim,Some College,30-49,A woman,"$30,000 to less than $40,000",South
17765,Rural,Refused/Web blank,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",South
2620,Rural,Agnostic,College graduate+,50-64,A man,"$70,000 to less than $100,000",Northeast
9532,Rural,Protestant,Some College,65+,A woman,Refused/Web blank,Midwest
149,Rural,Nothing in particular,H.S. graduate or less,30-49,A woman,"$30,000 to less than $40,000",Midwest
16432,Urban,Protestant,College graduate+,30-49,A man,"$100,000 to less than $125,000",South
8986,Rural,Protestant,H.S. graduate or less,30-49,A man,"$100,000 to less than $125,000",West
15028,Suburban,Nothing in particular,College graduate+,30-49,A man,"$125,000 to less than $150,000",Northeast
12694,Urban,Refused/Web blank,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
5318,Suburban,Roman Catholic,College graduate+,65+,A man,Refused/Web blank,Northeast
6741,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
16536,Urban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
3882,Rural,Protestant,College graduate+,65+,A man,"$150,000 or more",West
1076,Suburban,Protestant,Some College,50-64,A man,"$50,000 to less than $70,000",West
13295,Urban,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",South
1178,Rural,Protestant,H.S. graduate or less,65+,A man,"Less than $30,000",Northeast
16951,Rural,Something else (please specify):,H.S. graduate or less,65+,A man,"Less than $30,000",South
8895,Urban,Roman Catholic,Some College,65+,A man,"$100,000 to less than $125,000",South
9457,Urban,Protestant,College graduate+,30-49,A woman,"$40,000 to less than $50,000",Northeast
16825,Suburban,Nothing in particular,College graduate+,65+,A man,"$50,000 to less than $70,000",Northeast
14197,Urban,Protestant,Some College,18-29,A man,"$40,000 to less than $50,000",South
9534,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",Midwest
4731,Refused/Web blank,Protestant,College graduate+,65+,A man,"$40,000 to less than $50,000",South
2929,Rural,Protestant,H.S. graduate or less,30-49,A man,"Less than $30,000",South
10037,Suburban,Protestant,Some College,65+,A woman,Refused/Web blank,West
15628,Suburban,Protestant,H.S. graduate or less,30-49,A man,"$30,000 to less than $40,000",Midwest
3531,Urban,Jewish,College graduate+,65+,A man,"$150,000 or more",South
2736,Suburban,Nothing in particular,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
5441,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",South
1869,Rural,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
8722,Urban,Roman Catholic,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
16953,Rural,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",Midwest
9510,Suburban,Roman Catholic,Some College,65+,A woman,"$100,000 to less than $125,000",West
9773,Urban,Protestant,College graduate+,18-29,A man,"$150,000 or more",Northeast
12790,Urban,Protestant,College graduate+,65+,A man,"$40,000 to less than $50,000",West
4089,Rural,Agnostic,Some College,50-64,A man,"$40,000 to less than $50,000",South
6920,Suburban,Protestant,Some College,30-49,A woman,"$50,000 to less than $70,000",South
2787,Suburban,Nothing in particular,College graduate+,50-64,A woman,"$150,000 or more",Northeast
5086,Suburban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",South
15020,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$40,000 to less than $50,000",South
10245,Rural,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",West
17724,Suburban,Agnostic,College graduate+,65+,A woman,"$125,000 to less than $150,000",Northeast
8832,Rural,Protestant,College graduate+,50-64,A woman,Refused/Web blank,Midwest
4339,Suburban,Nothing in particular,College graduate+,65+,A woman,"$100,000 to less than $125,000",Midwest
10505,Urban,Nothing in particular,College graduate+,18-29,A woman,"$30,000 to less than $40,000",West
13486,Rural,Protestant,Some College,50-64,A woman,"$150,000 or more",South
16164,Suburban,Agnostic,College graduate+,50-64,A man,"$125,000 to less than $150,000",South
13710,Urban,Jewish,College graduate+,30-49,A man,"$150,000 or more",Northeast
17555,Rural,Protestant,Some College,30-49,A man,"$125,000 to less than $150,000",Midwest
8055,Urban,Protestant,H.S. graduate or less,30-49,A man,"$40,000 to less than $50,000",Midwest
17625,Suburban,Protestant,Some College,30-49,A woman,"$50,000 to less than $70,000",Midwest
6828,Urban,Protestant,College graduate+,65+,A man,"$100,000 to less than $125,000",Midwest
17919,Rural,Protestant,Some College,65+,A man,"$50,000 to less than $70,000",Midwest
5952,Refused/Web blank,Refused/Web blank,College graduate+,30-49,A woman,"Less than $30,000",Midwest
14398,Suburban,Nothing in particular,H.S. graduate or less,18-29,A man,"$40,000 to less than $50,000",Midwest
2666,Suburban,Roman Catholic,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",Midwest
752,Urban,Atheist,College graduate+,30-49,A man,"$150,000 or more",West
18282,Suburban,Protestant,Some College,50-64,A woman,"$40,000 to less than $50,000",West
6040,Suburban,Protestant,Some College,30-49,A woman,"$40,000 to less than $50,000",South
18180,Rural,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
4510,Rural,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",West
7937,Suburban,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",South
4770,Suburban,Protestant,Some College,30-49,A woman,"Less than $30,000",Midwest
4634,Suburban,Protestant,Some College,50-64,A man,"$125,000 to less than $150,000",Midwest
8437,Urban,Jewish,College graduate+,65+,A woman,"$70,000 to less than $100,000",West
4889,Urban,Atheist,Some College,30-49,A man,"$50,000 to less than $70,000",West
10003,Suburban,Something else (please specify):,H.S. graduate or less,30-49,A woman,"Less than $30,000",Midwest
5521,Urban,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",West
14715,Suburban,Nothing in particular,College graduate+,65+,A woman,"$150,000 or more",Northeast
3503,Rural,Something else (please specify):,Some College,50-64,A woman,"$70,000 to less than $100,000",West
1424,Suburban,Protestant,H.S. graduate or less,50-64,A woman,"$100,000 to less than $125,000",Northeast
16234,Urban,Orthodox,College graduate+,65+,A man,"$30,000 to less than $40,000",South
4148,Rural,Nothing in particular,Some College,30-49,A man,"$70,000 to less than $100,000",Northeast
14098,Urban,Nothing in particular,College graduate+,65+,A man,"$70,000 to less than $100,000",Northeast
14327,Rural,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",Northeast
5054,Rural,Protestant,College graduate+,65+,A woman,"$70,000 to less than $100,000",South
13529,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",West
17814,Rural,Protestant,College graduate+,30-49,A man,"$70,000 to less than $100,000",South
86,Rural,Protestant,College graduate+,50-64,A man,Refused/Web blank,Midwest
5918,Urban,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",Midwest
17692,Rural,Protestant,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",South
14724,Suburban,Protestant,College graduate+,50-64,A woman,"$150,000 or more",South
9737,Urban,Nothing in particular,College graduate+,65+,A woman,"$70,000 to less than $100,000",Midwest
17255,Urban,Orthodox,College graduate+,30-49,A woman,"$150,000 or more",Northeast
17369,Urban,Protestant,College graduate+,50-64,A woman,"$50,000 to less than $70,000",Northeast
1560,Urban,Nothing in particular,H.S. graduate or less,30-49,A woman,"Less than $30,000",West
3101,Suburban,Roman Catholic,Some College,65+,A woman,"$70,000 to less than $100,000",West
2531,Suburban,Hindu,College graduate+,65+,A man,"Less than $30,000",Northeast
13699,Urban,Roman Catholic,H.S. graduate or less,18-29,A man,"$30,000 to less than $40,000",South
9577,Suburban,Agnostic,H.S. graduate or less,18-29,A man,"$50,000 to less than $70,000",Midwest
14804,Urban,Protestant,College graduate+,65+,A woman,"Less than $30,000",South
12568,Suburban,Nothing in particular,College graduate+,50-64,A man,"$150,000 or more",Midwest
7588,Suburban,Protestant,H.S. graduate or less,30-49,A woman,"$100,000 to less than $125,000",Northeast
17500,Suburban,Protestant,College graduate+,65+,A woman,"$125,000 to less than $150,000",Midwest
9282,Urban,Roman Catholic,College graduate+,50-64,A man,"$70,000 to less than $100,000",West
13033,Rural,Protestant,College graduate+,65+,A woman,"Less than $30,000",South
5110,Suburban,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",South
13958,Suburban,Protestant,Some College,65+,A man,"$100,000 to less than $125,000",Midwest
